id,city_id,name,shipping_charge
1,34,Amtali,0
2,34,Bamna,0
3,34,Barguna Sadar,0
4,34,Betagi,0
5,34,Patharghata,0
6,34,Taltali,0
7,35,Muladi,0
8,35,Babuganj,0
9,35,Agailjhara,0
10,35,Barisal Sadar (KOTWALI),0
11,35,Bakerganj,0
12,35,Banaripara,0
13,35,Gaurnadi,0
14,35,Hizla,0
15,35,Mehendiganj,0
16,35,Wazirpur,0
17,36,Bhola Sadar,0
18,36,Burhanuddin,0
19,36,Char Fasson,0
20,36,Daulat Khan,0
21,36,Lalmohan,0
22,36,Manpura,0
23,36,Tazumuddin,0
24,37,Jhalokati Sadar,0
25,37,Kanthalia,0
26,37,Nalchity,0
27,37,Rajapur,0
28,38,Bauphal,0
29,38,Dashmina,0
30,38,Galachipa,0
31,38,Kalapara,0
32,38,Mirzaganj,0
33,38,Patuakhali Sadar,0
34,38,Dumki,0
35,38,Rangabali,0
36,39,Bhandaria,0
37,39,Kawkhali,0
38,39,Mathbaria,0
39,39,Nazirpur,0
40,39,Nesarabad (SWARUPKATI),0
41,39,Pirojpur Sadar,0
42,39,Zianagar,0
43,40,Bandarban Sadar,0
44,40,Thanchi,0
45,40,Lama,0
46,40,Naikhongchhari,0
47,40,Alikadam,0
48,40,Rowangchhari,0
49,40,Ruma,0
50,41,Brahmanbaria Sadar,0
51,41,Ashuganj,0
52,41,Nasirnagar,0
53,41,Nabinagar,0
54,41,Sarail,0
55,41,Shahbazpur Town,0
56,41,Kasba,0
57,41,Akhaura,0
58,41,Bancharampur,0
59,41,Bijoynagar,0
60,42,Chandpur Sadar,0
61,42,Faridganj,0
62,42,Haimchar,0
63,42,Haziganj,0
64,42,Kachua,0
65,42,Matlab Uttar,0
66,42,Matlab Dakshin,0
67,42,Shahrasti,0
68,43,Anwara,0
69,43,Banshkhali,0
70,43,Boalkhali,0
71,43,Chandanaish,0
72,43,Fatikchhari,0
73,43,Hathazari,0
74,43,Lohagara,0
75,43,Mirsharai,0
76,43,Patiya,0
77,43,Rangunia,0
78,43,Raozan,0
79,43,Sandwip,0
80,43,Satkania,0
81,43,Sitakunda,0
527,43,Bayejid Bostami,0
528,43,Bakalia ,0
529,43,Chandgaon,0
530,43,Chittagong Port,0
531,43,Double Mooring,0
532,43,Halishahar,0
533,43,Kotwali,0
534,43,Khulshi,0
535,43,Pahartali,0
536,43,Panchlaish,0
537,43,Patenga,0
82,44,Barura,0
83,44,Brahman Para,0
84,44,Burichang,0
85,44,Chandina,0
86,44,Chauddagram,0
87,44,Daudkandi,0
88,44,Debidwar,0
89,44,Homna,0
90,44,Comilla Adarsha Sadar,0
91,44,Laksam,0
92,44,Manohargonj,0
93,44,Meghna,0
94,44,Muradnagar,0
95,44,Nangalkot,0
96,44,Comilla Sadar South,0
97,44,Titas,0
538,44,Comilla Sadar Dakshin,0
98,45,Chakaria,0
100,45,Cox's Bazar Sadar,0
101,45,Kutubdia,0
102,45,Maheshkhali,0
103,45,Ramu,0
104,45,Teknaf,0
105,45,Ukhia,0
106,45,Pekua,0
107,46,Feni Sadar,0
108,46,Chhagalnaiya,0
109,46,Daganbhuiyan,0
110,46,Parshuram,0
111,46,Fhulgazi,0
112,46,Sonagazi,0
